x_solution,quantile_value,is_feasible
"-9.996352186206499e-9, -9.991013296516695e-9, 10.000000099916859, -9.990389464062509e-9, -9.99312135450667e-9, -9.990215294764095e-9, 0.29476810128744674, -9.977090486291336e-9, -9.99116708892273e-9, -9.988364509527028e-9",536.529482143091,false
"-9.997385132395045e-9, -9.993045602584677e-9, 10.000000099846702, -9.993553241209908e-9, -9.993483730951033e-9, -9.994748652581156e-9, -5.739108020692331e-9, -9.98202162498572e-9, -9.991508824644306e-9, -9.992879907070646e-9",536.4784524085187,false
"-9.998059517605835e-9, -9.992483814732245e-9, 10.000000099987476, -9.995059307698704e-9, -9.994144578930317e-9, -9.996841831753493e-9, 0.14282819923489903, -9.987941459029332e-9, -9.991302300367146e-9, -9.996302190018462e-9",536.4904333469489,false
"-9.992972506016341e-9, -9.978159462484608e-9, 10.000000099983344, -9.983279444677875e-9, -9.988190308257649e-9, -9.989169393646032e-9, -9.93555590265157e-9, -9.967290119463921e-9, -9.979034264441412e-9, -9.984126623191717e-9",536.4784524259127,false
"-9.98594681043962e-9, -9.96044207972346e-9, 10.000000099972981, -9.968599227353876e-9, -9.980968544828044e-9, -9.977202918876934e-9, -9.884778946268635e-9, -9.94873362426503e-9, -9.964112450238553e-9, -9.965466900677868e-9",536.4784524245935,false
"-9.978889883776162e-9, -9.939040971379394e-9, 10.000000099962733, -9.957287418864236e-9, -9.9741862590497e-9, -9.966646578989932e-9, -9.835402761390643e-9, -9.933822237694797e-9, -9.944962041665187e-9, -9.950802024735345e-9",536.478452423289,false
"0.024997822625847474, 0.16265345059179576, 8.478409576705095, 0.08442853846076537, 0.031240700507175825, 0.04017925050400873, 0.4155016185705515, 0.42986204610239065, 0.12614307572691869, 0.23631814008363175",357.7981160945122,false
"0.007914609841148213, 0.14939510386763055, 8.7619875413578, 0.01622720116829476, 0.025361352217119482, 0.026302681399018712, 0.4846297278961956, 0.4482936944749825, 0.10413566420241424, 0.09706775464255793",388.92985536473213,false
"0.05533799333327405, 0.18102076043097365, 8.478230151525562, 0.029470276585144544, 0.012111665911377531, 0.02710694241086667, 0.5778703748651156, 0.5525503286061358, 0.13290521881154227, 0.17594876794961778",357.9288284704323,false
"0.0834806699367052, 0.18348420300691792, 8.83640938115817, 0.029915236462379056, 0.015963378421948393, 0.04068390074734571, 0.6755481731239985, 0.5707343717949585, 0.12375904196946833, 0.12146130292908137",397.4912841320251,false
