x_solution,quantile_value,is_feasible
"-9.997880457702901e-9, -9.995618868081582e-9, 10.000000099960893, -9.991748324637899e-9, -9.996772523787736e-9, -9.994668467438513e-9, -9.987524548173168e-9, -9.927282962464421e-9, -9.99621893022649e-9, -9.98154765221625e-9",536.4784524230547,false
"-9.99798315140488e-9, -9.995914353096073e-9, 10.00000009996141, -9.992131147382917e-9, -9.996831716824822e-9, -9.995449998335253e-9, -9.990730068178774e-9, 0.43534750929290494, -9.99625164857346e-9, -9.982079686057492e-9",536.5885050595044,false
"-9.999516232221638e-9, -9.995126032224262e-9, 10.000000099926474, -9.991602141281304e-9, -9.99599857014572e-9, -9.995672882259448e-9, -9.989014947185397e-9, 0.45076909527673553, -9.99532203176097e-9, -9.986371876414173e-9",536.5964400789162,false
"-9.99754970806618e-9, -9.99429122088121e-9, 10.000000099751455, -9.991762154947331e-9, -9.995283039277714e-9, -9.995459867375173e-9, -9.986621679634088e-9, 0.24026439838901434, -9.994298149640585e-9, -9.988581946499935e-9",536.5119726402176,false
"-9.996938447625743e-9, -9.988205560911837e-9, 9.83990627087036, -9.991210720298442e-9, -9.990270059692012e-9, -9.994629508754783e-9, 0.1600937087135988, -9.608380565872218e-9, -9.984364842665083e-9, -9.991816749991897e-9",516.2773803264657,false
"-9.998613387661736e-9, -9.993836700337441e-9, -9.990272040091159e-9, -9.997135980351991e-9, -9.994769935273528e-9, -9.997664559287726e-9, 10.000000099972288, -9.992737276513147e-9, -9.990136925839305e-9, -9.997784955080239e-9",516.2798137056992,false
"-9.998581117705155e-9, -9.994765173290642e-9, 7.399801027111274, -9.995541128863227e-9, -9.9965774929489e-9, -9.997738940989758e-9, 2.6001989531137486, -9.983843105627091e-9, -9.994174804736343e-9, -9.996610265679666e-9",262.0123415268492,false
"-9.999036305895156e-9, -9.996481616655201e-9, 10.000000099992366, -9.996091477977608e-9, -9.998215618557728e-9, -9.99852664953627e-9, 9.809669800628798, -9.986726660112078e-9, -9.996428826063108e-9, -9.997525063015016e-9",787.7098222614502,false
"-9.998228275475388e-9, -9.994022073344699e-9, 10.000000099992768, -9.990751858489012e-9, -9.99718794997226e-9, -9.997273727844294e-9, 10.000000099927417, -9.959399905367355e-9, -9.9943301275019e-9, -9.994780872927319e-9",807.4187353802596,false
"0.017664764620023515, 0.052679770710254696, 9.980127545794707, 0.10791136377020528, 0.04893780731022204, 0.024936378674473167, 9.331193773393185, 0.1694899655409175, 0.045958481845512204, 0.041609098307302084",725.9582201445306,false
"0.06802748634573026, 0.3631222206007105, 9.991417418154532, 0.811239787995479, 0.08989215681203154, 0.09359891570762219, 4.030211047741783, 0.446348383894723, 0.2574934476128882, 0.21209060687173492",571.9743477857734,false
"0.05268807739275829, 0.9340591280404767, 7.849082247534628, 1.3254055566983483, 0.09587750550705003, 0.08664752718537146, 3.0890321759944683, 1.4247564565651145, 0.42264805239211617, 0.27579416740999363",320.8754207210307,false
"0.0656415639817522, 0.5453438829617379, 7.511529377292179, 1.029053402245026, 0.06273385921327483, 0.08406865073406931, 2.474298475993437, 0.755578617831606, 0.15287546758315307, 0.19203661370515848",273.1147154418362,false
"0.2412793962012102, 2.133045883983172, 9.566559589900583, 6.259412932866894, 0.39457933712900417, 0.26823735928092673, 6.576991549375055, 7.811724655991924, 0.8731540123666152, 1.7121805935945058",775.6122519403879,false
"0.19726274721282985, 2.7783863565150226, 8.860028088093028, 6.22645633192431, 0.6064015937893378, 0.1514746762092384, 7.230817055333678, 9.185386055203194, 0.9309494128987684, 1.971435952454414",808.613621914104,false
"0.09124490752111689, 4.884231091219262, 9.303772227300602, 2.5744185581880115, 0.08594278419473829, 0.1134557156046972, 9.7634867808383, 8.688861676315781, 0.29769322992737385, 1.1909368748034155",913.7919872580834,false
"-9.169129300461518e-9, -3.7970728532682345e-9, 10.00000009836412, 10.000000078104877, -9.109323991334449e-9, -8.927187837183596e-9, 10.000000097851267, 5.9604478090039175, -7.2304975121280616e-9, -8.445264845889046e-9",1031.6311934174485,false
"-8.35200830306786e-9, 1.2190211487429623e-9, 10.000000096798482, 10.000000070886317, -8.336977357710366e-9, -7.90494413408367e-9, 10.000000096111549, 1.9226895518933014, -4.474402557949485e-9, -6.8471457319375445e-9",990.2328619970788,false
"-7.903573565274282e-9, 2.351288812135773e-9, 10.000000096000639, 10.000000066636254, -7.951311452137725e-9, -7.291430493404402e-9, 10.000000095189096, 2.4344876567727367e-7, -2.852038837618497e-9, -5.928341550272396e-9",986.2838925368728,false
"-7.204121408627228e-9, 6.423539833891351e-9, 10.000000094647756, 10.000000059492724, -7.252409463018468e-9, -6.508008717666307e-9, 10.000000093827387, 1.3400035586495222e-7, -8.175773217689324e-10, -4.820774280379785e-9",986.28389160085,false
"-5.498020813237618e-9, 1.4765472743803757e-8, 10.00000009168475, 10.00000003850018, -5.707926324646707e-9, -4.3653554095643185e-9, 10.000000090378691, 2.257755943725398e-7, 5.6162799681155254e-9, -1.4745937909239486e-9",986.283888945628,false
"-5.291584221412733e-9, 2.7678627447939338e-8, 10.000000091103486, 10.000000029743749, -5.244764369624608e-9, -4.358428824125298e-9, 10.000000090527587, 6.324174320281776e-8, 4.541525081569649e-9, -2.5287684178400744e-9",986.2838879327237,false
"-4.5252846486789096e-9, 3.297097652648634e-8, 10.000000089609717, 10.000000020527095, -4.477282082163198e-9, -3.503375069621827e-9, 10.000000089053323, 5.9085658831721424e-8, 6.455342634536486e-9, -1.5308219901917474e-9",986.2838867526725,false
"1.4015521789278844e-9, 1.0250061411584212e-7, 10.000000079066458, 9.999999958484713, 1.6662721431248498e-9, 3.667589035809207e-9, 10.00000007825512, 1.329795510262947e-7, 2.4102529821752713e-8, 6.757115688809232e-9",986.2838787468377,false
"-3.71122154547378e-10, 9.806145972480233e-8, 10.000000082277715, 9.99999997389052, -4.9086664590684165e-11, 1.2637914889289505e-9, 10.00000008145241, 9.527265356332325e-8, 1.8252309157158764e-8, 3.641315728218925e-9",986.283880795834,false
"2.924696049094973e-9, 1.1945361511512497e-7, 10.000000076280998, 9.999999950528597, 2.926440020176077e-9, 5.330746696479076e-9, 10.000000074968336, 1.3946643411381677e-7, 2.877531199207257e-8, 8.566641527664251e-9",986.2838775551106,false
"3.110065693171552e-8, 2.8604163247942597e-7, 10.000000024149802, 9.999999725771435, 2.9582911989863788e-8, 4.483826887227746e-8, 10.000000017931544, 5.72470444886494e-7, 1.33678689951925e-7, 6.421312350081557e-8",986.2838469631756,false
"2.6742202215476354e-8, 2.1723360567796532e-7, 10.000000032977912, 9.99999975507149, 2.411596633202403e-8, 3.817807228956529e-8, 10.000000027667179, 5.408117669552963e-7, 1.1890300427214174e-7, 6.072758195497502e-8",986.2838511746572,false
"3.898953585787411e-8, 3.024814088291384e-7, 10.000000011221376, 9.99999962169499, 3.5554370240278836e-8, 5.489199496513356e-8, 10.000000004436679, 7.333677166331511e-7, 1.5761955376807952e-7, 8.345922187719659e-8",986.283834035929,false
"5.17989139639886e-8, 3.8674111865247675e-7, 9.999999988688202, 9.999999485296126, 4.7741617875509486e-8, 7.271116752598645e-8, 9.999999980266017, 1.0199622923218765e-6, 1.956481739050466e-7, 1.0314253786651056e-7",986.2838164751652,false
"4.9775938178688875e-8, 3.417217545966026e-7, 9.999999992076813, 9.99999954977371, 4.441342725095263e-8, 6.998979694466331e-8, 9.999999982940617, 8.487188262259025e-7, 2.0056004190477625e-7, 1.0671329078581616e-7",986.2838239636392,false
"8.283708356764855e-8, 3.624974103963781e-7, 9.999999937732854, 9.999999428263473, 6.300006512858571e-8, 1.1054534110207833e-7, 9.99999991988983, 3.4549847244842547e-6, 3.4475575239445125e-7, 2.4324150294199386e-7",986.2838044788386,false
"1.0219510768554438e-7, 4.558638429670673e-7, 9.99999990444642, 9.99999927547434, 8.12440448727971e-8, 1.4214544892155103e-7, 9.999999879038565, 2.890061348376897e-6, 4.3004802884791927e-7, 2.5181533769166155e-7",986.2837837982743,false
"3.965123903347484e-8, 1.6948087892915762e-7, 10.000000011796397, 9.999999738117703, 3.1988982113573755e-8, 5.704802902836853e-8, 9.999999996681517, 3.8050251552300014, 1.8930365222772628e-7, 1.207198102308434e-7",1001.7499336589894,false
"8.165390345823318e-8, 3.251239725942362e-7, 9.99999993770283, 9.999999495938894, 6.240688777726833e-8, 1.1078840285815366e-7, 9.999999916779016, 7.195550632569679e-6, 3.7203497430692696e-7, 2.827998557420105e-7",986.2838118946493,false
"1.4853214068401677e-7, 6.666493664509895e-7, 9.999999827786494, 9.999999002893942, 1.1670890822665053e-7, 2.0100013346364817e-7, 9.999999794469993, 4.227393696569228e-6, 5.967777646949084e-7, 3.5593169806167697e-7",986.2837452148162,false
"1.4722745468757423e-7, 6.087711283736317e-7, 9.999999827022872, 9.999998989356625, 1.1551855516275565e-7, 1.9917067282652115e-7, 9.999999793292673, 6.0781834075650076e-6, 6.004704828399563e-7, 3.681840150754545e-7",986.2837436219568,false
"1.5193746770908394e-7, 6.937048693264994e-7, 9.999999821470459, 9.999999022821203, 1.1843750970633458e-7, 2.0105149194189397e-7, 9.999999787360379, 5.248770432141785e-6, 6.320754618448675e-7, 3.769849194316554e-7",986.2837467303059,false
"1.5827670331752138e-7, 6.478041575248285e-7, 9.999999814174227, 9.999999011510155, 1.2454287927990176e-7, 2.123239588618816e-7, 9.999999782248361, 5.539953925696605e-6, 6.116928028555617e-7, 3.7470138297261693e-7",986.2837447586287,false
"2.0911709169195566e-7, 9.035426536190873e-7, 9.999999726425454, 9.999998665036626, 1.648781767405555e-7, 2.771773008651663e-7, 9.999999686892252, 4.888471067277989e-6, 8.324973955710781e-7, 4.856195693529628e-7",986.2836968125662,false
"1.5728222906473404e-7, 7.070178937842685e-7, 9.999999808642224, 9.99999902374994, 1.1814915727829111e-7, 2.0686906951887863e-7, 9.999999776233828, 3.5820799592311174e-6, 6.524525744093435e-7, 4.2443480637653146e-7",986.2837455137328,false
