x_solution,quantile_value,is_feasible
"-9.99283181767888e-9, 10.000000099955063, -9.964328196758861e-9, -9.939288402718987e-9, 10.000000099884312",1027.6267216151346,false
"-9.994519336881368e-9, 4.999999989987813, -9.990223026264555e-9, -9.986438505721999e-9, -9.96960658172217e-9",50.39300280301117,false
"10.000000099889524, -9.912677486824026e-9, -9.958149111270343e-9, -9.882592914184228e-9, -9.950021109782319e-9",477.9905330444142,false
"10.000000099914754, -9.934507496318503e-9, -9.968291020625891e-9, -9.911299409719903e-9, -9.9617928091034e-9",477.9905330473307,false
"-9.995535595438529e-9, 4.9999999899709975, -9.992196906118548e-9, -9.987442059317546e-9, -9.971261848736148e-9",50.393002801999586,false
"10.000000099905913, -9.921043060230382e-9, -9.960890719822654e-9, -9.884090792761152e-9, -9.95394754750809e-9",477.99053304630866,false
"10.000000099858307, -9.992825471666127e-9, -9.971341470272704e-9, -9.937655243431944e-9, -9.980397964066398e-9",477.9905330408054,false
"9.95434542936292, -9.993182278693185e-9, -9.97392392710388e-9, -9.946121460517286e-9, -9.980205377306717e-9",472.72498696571733,false
"6.865439984518646, -9.996463947077958e-9, -9.990819185061386e-9, -9.981622127052765e-9, -9.992578162274936e-9",172.43159090368079,false
"7.860146110262363, -9.997404772285018e-9, -9.99028001786755e-9, -9.986264128028936e-9, -9.993488929360042e-9",257.09350793689003,false
"10.000000099959303, -9.997602361174925e-9, -9.990684194663664e-9, -9.983385662958635e-9, -9.993951065464122e-9",477.9905330524805,false
"10.00000009997746, -9.99487520805884e-9, -9.97929624238101e-9, -9.968393037754593e-9, -9.987440468398412e-9",477.9905330545794,false
"10.00000009996876, -9.990807401697634e-9, -9.968749478424616e-9, -9.939580316672029e-9, -9.979739365653622e-9",477.9905330535737,false
"10.000000099943739, -9.97828789565498e-9, -9.948103157997961e-9, -9.890664351803732e-9, -9.962013920400394e-9",477.9905330506813,false
"10.000000099917873, -9.96546141077798e-9, -9.927285030595402e-9, -9.844292265762797e-9, -9.945227073960166e-9",477.9905330476913,false
"10.000000099928949, -9.97052374577703e-9, -9.936370165804098e-9, -9.8705913313356e-9, -9.954173608500575e-9",477.99053304897154,false
"10.000000099851082, -9.929881521587285e-9, -9.869578294804159e-9, -9.713360511715207e-9, -9.898976930085114e-9",477.9905330399704,false
"10.000000099947941, -9.982897116398878e-9, -9.93740266523537e-9, -9.873171974108776e-9, -9.961191561317032e-9",477.99053305116706,false
"10.000000099779038, -9.88989282963031e-9, -9.806843919254946e-9, -9.609748787847836e-9, -9.848757030969761e-9",477.99053303164226,false
"10.000000099734702, -9.860972896501892e-9, -9.775951340858726e-9, -9.503428967399833e-9, -9.81838113180288e-9",477.99053302651714,false
"10.00000009971511, -9.852564244519548e-9, -9.765395699058973e-9, -9.519827919284945e-9, -9.807378455454163e-9",477.9905330242523,false
"10.000000099684234, -9.834017046100866e-9, -9.733331205216277e-9, -9.444816392200184e-9, -9.781941656433448e-9",477.9905330206831,false
"10.000000099856798, -9.937239937142504e-9, -9.87631961193666e-9, -9.730961796561118e-9, -9.900599344161039e-9",477.99053304063114,false
"10.000000099674418, -9.834237964995995e-9, -9.703433563987726e-9, -9.365860176621771e-9, -9.76463561651039e-9",477.99053301954825,false
