x_solution,quantile_value,is_feasible
"10.00000009998321, 10.000000099936756, -9.986474198524425e-9, -9.985876861202559e-9, -9.986826981913679e-9",876.9485825056831,false
"10.000000099999655, -9.999428486012225e-9, -9.999051748689008e-9, -9.995617164787573e-9, -9.999386127608441e-9",768.3001348879726,false
"10.000000099999442, -9.999290266748867e-9, -9.99783356349163e-9, 10.000000099995484, -9.998702774991645e-9",949.7816702047162,false
"-9.99970492757586e-9, 10.00000009999923, 10.000000099999546, -9.997520762227966e-9, 10.000000099999408",1099.7182544455768,false
"10.000000099999225, -9.999579803707434e-9, -9.997433190144294e-9, 10.000000099997209, -9.985107137888696e-9",949.7816702047005,false
"-9.999268580308656e-9, 10.000000099998969, 10.000000099997878, -9.985424840398776e-9, 10.00000009999778",1099.7182544453967,false
"-9.997775622257954e-9, -9.99866993092962e-9, 10.000000099998894, -9.99883471555043e-9, -9.995725000824139e-9",639.558217497614,false
"-9.99884712110122e-9, 10.000000099997585, 10.00000009999702, -9.993973437136166e-9, 10.000000099991624",1099.718254445065,false
"-9.998890674592505e-9, 10.00000009999857, -7.1259456444076565e-9, 10.000000099983456, -9.993934061831e-9",1007.6121574834513,false
"10.000000099997006, -9.999178716740208e-9, 10.000000099998365, -9.998087464989175e-9, -9.998016874559271e-9",951.010391789682,false
"10.000000099975518, -9.99163587351241e-9, -9.962934268226815e-9, -9.990352304800138e-9, 10.000000099947652",830.8673396852564,false
"10.000000099991393, -9.998293476086545e-9, 10.000000099995233, -9.959737727154022e-9, -9.99479247633642e-9",951.0103917885358,false
"-9.997863117223365e-9, 10.000000099994168, 10.00000009999319, -9.952405455213732e-9, 10.000000099994468",1099.7182544442655,false
"10.000000099998116, -9.994254899824641e-9, -9.99888362291124e-9, -9.997011209119806e-9, -9.992505310361483e-9",768.3001348877054,false
"10.000000099998521, 10.000000099995013, -9.998916482045895e-9, -9.996923364115008e-9, -9.997608529415913e-9",876.9485825087124,false
"10.000000099997578, 10.000000099996187, -9.997666404177655e-9, -9.995433094479839e-9, -9.994918524223533e-9",876.9485825085301,false
"10.000000099990123, -9.990978596940163e-9, -9.944992540997308e-9, -9.975006516624648e-9, -9.966211313163598e-9",768.3001348863173,false
"-9.994764498912971e-9, 10.000000099996596, -9.978815759792466e-9, 10.000000099159182, -9.959517473834503e-9",1007.6121573707244,false
"10.000000099999482, -9.999346401116901e-9, 10.000000099997498, 10.00000009999831, 10.000000099996596",1276.933275488938,false
"10.000000099998728, -9.998800265830183e-9, -9.998649278580864e-9, -9.997844319019147e-9, -9.997874579561518e-9",768.3001348878116,false
"-9.998243449180638e-9, 10.000000099996722, -9.9908244757591e-9, -9.997210150335218e-9, 10.000000099995603",926.7401022074744,false
"10.000000099998848, -9.998945151645804e-9, -9.996740088130201e-9, -9.999102320537199e-9, -9.998126995886378e-9",768.3001348878325,false
"10.000000099980264, 10.000000099995473, -9.991149189618135e-9, -9.994704582627971e-9, -9.994954984239635e-9",876.9485825051615,false
"-9.936733432841035e-9, 10.000000099985076, -9.667982450977095e-9, -9.972774353450628e-9, -9.980809663918387e-9",758.293786656907,false
"10.000000099989046, -9.993698945446145e-9, -9.991729703967882e-9, -9.993173716113557e-9, -9.994489265051979e-9",768.3001348861303,false
"10.000000099896502, 10.00000009999429, 10.000000099992198, 10.000000099994757, 10.000000099995692",1529.1921665886657,false
"-9.968033999359732e-9, 10.000000099996184, -9.976436646487772e-9, -9.996491511864803e-9, -9.9975891215874e-9",758.2937866588136,false
"-9.953489976723565e-9, -9.998955394437721e-9, -9.998227155679409e-9, -9.999369986028196e-9, -9.998889942557085e-9",-100.0,true
